generation,individual,pv_error,delay_diff,size_penalty,tau_mismatch,spec_err,reason,keep_count,delta_T,delta_Y,delay_red,fitness
5,3,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,4,0.9999956049960926,3.2762601142950647,0.04955500177999287,145.58114878713874,71759301471.63669,,22,1.763011564719136,0.0009248195914031768,0.005,-143518603122.6667
5,5,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
5,6,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",21,0.0,0.0,0.0,-1000000.0
5,7,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
5,8,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
5,9,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,10,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-3.59, max|ΔY|=0.000769",22,0.0,0.0,0.0,-1000000.0
5,11,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,12,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,13,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
5,14,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,15,0.9953424496088655,3.2762601142950647,0.04955500177999287,76.90413567868733,71142375124.21487,,22,48.73114961062129,0.009694841539985427,0.005,-142284750359.1414
5,16,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",19,0.0,0.0,0.0,-1000000.0
5,17,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
5,18,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
5,19,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
